VVV model number/ spec name -> ,run_model,trials_included,weighted_by,spines_included,inclusion_based_on,integration,somatic_function,run_shuffles,save_trace_images,kyle runs
1,TRUE,all_trials,democratic_weights,all_spines,_,summation,identity,TRUE,TRUE,TRUE
2,FALSE,no_bap_trials,democratic_weights,all_spines,_,summation,identity,FALSE,FALSE,FALSE
3,FALSE,all_trials,democratic_weights,only,responsive_spines,summation,identity,FALSE,FALSE,FALSE
4,FALSE,all_trials,democratic_weights,only,unresponsive_spines,summation,identity,FALSE,FALSE,FALSE
5,TRUE,all_trials,democratic_weights,only,apical_spines,summation,identity,FALSE,FALSE,TRUE
6,TRUE,all_trials,democratic_weights,only,basal_spines,summation,identity,FALSE,FALSE,TRUE
7,FALSE,all_trials,corr_to_nearest_resp_spine,only,responsive_spines,summation,identity,FALSE,FALSE,TRUE
8,FALSE,all_trials,democratic_weights,only,responsive_spines,summation,identity,FALSE,FALSE,TRUE
9,FALSE,all_trials,dist_to_nearest_resp_spine,only,responsive_spines,summation,identity,FALSE,FALSE,FALSE
10,FALSE,all_trials,spine_amplitude,all_spines,_,summation,identity,FALSE,FALSE,FALSE
11,TRUE,all_trials,spine_size,all_spines,_,summation,identity,FALSE,FALSE,TRUE
12,TRUE,all_trials,spine_distance_from_soma,all_spines,_,summation,identity,FALSE,FALSE,TRUE
13,FALSE,all_trials,size_AND_dist,all_spines,_,summation,identity,FALSE,FALSE,FALSE
14,FALSE,all_trials,spine_neck_length,all_spines,_,summation,identity,FALSE,FALSE,FALSE
15,FALSE,all_trials,one_over_peak_height,all_spines,_,summation,identity,FALSE,FALSE,TRUE
16,FALSE,all_trials,spine_osi,all_spines,_,summation,identity,FALSE,FALSE,TRUE
17,FALSE,all_trials,spine_dsi,all_spines,_,summation,identity,FALSE,FALSE,TRUE
18,FALSE,all_trials,spine_reliability,all_spines,_,summation,identity,FALSE,FALSE,TRUE
19,,,,,,,,,,
20,FALSE,all_trials,democratic_weights,top_50_percentile,spine_amplitude,summation,identity,FALSE,FALSE,TRUE
21,FALSE,all_trials,democratic_weights,bottom_50_percentile,spine_amplitude,summation,identity,FALSE,FALSE,TRUE
22,FALSE,all_trials,democratic_weights,top_20_percentile,spine_amplitude,summation,identity,FALSE,FALSE,TRUE
23,FALSE,all_trials,democratic_weights,bottom_20_percentile,spine_amplitude,summation,identity,FALSE,FALSE,TRUE
24,,,,,,,,,,
25,FALSE,all_trials,democratic_weights,top_50_percentile,random_integers,summation,identity,TRUE,TRUE,TRUE
26,FALSE,all_trials,democratic_weights,top_20_percentile,random_integers,summation,identity,TRUE,TRUE,TRUE
27,,,,,,,,,,
28,FALSE,all_trials,democratic_weights,top_50_percentile,spine_size,summation,identity,FALSE,FALSE,TRUE
29,FALSE,all_trials,democratic_weights,bottom_50_percentile,spine_size,summation,identity,FALSE,FALSE,TRUE
30,FALSE,all_trials,democratic_weights,top_20_percentile,spine_size,summation,identity,FALSE,FALSE,TRUE
31,FALSE,all_trials,democratic_weights,bottom_20_percentile,spine_size,summation,identity,FALSE,FALSE,TRUE
32,,,,,,,,,,
33,FALSE,all_trials,democratic_weights,top_50_percentile,spine_osi,summation,identity,FALSE,FALSE,TRUE
34,FALSE,all_trials,democratic_weights,bottom_50_percentile,spine_osi,summation,identity,FALSE,FALSE,TRUE
35,FALSE,all_trials,democratic_weights,top_20_percentile,spine_osi,summation,identity,FALSE,FALSE,TRUE
36,FALSE,all_trials,democratic_weights,bottom_20_percentile,spine_osi,summation,identity,FALSE,FALSE,TRUE
37,,,,,,,,,,
38,FALSE,all_trials,democratic_weights,all_spines,_,summation,unrectified_linear,FALSE,FALSE,FALSE
39,FALSE,all_trials,democratic_weights,all_spines,_,summation,sigmoid,FALSE,FALSE,FALSE
40,,,,,,,,,,
41,TRUE,all_trials,democratic_weights,all_spines,_,two_layer_by_fov_1,identity,FALSE,TRUE,
42,TRUE,all_trials,democratic_weights,all_spines,_,two_layer_by_fov_half,identity,FALSE,TRUE,
43,TRUE,all_trials,democratic_weights,all_spines,_,two_layer_by_fov_quarter,identity,FALSE,TRUE,
44,TRUE,all_trials,democratic_weights,all_spines,_,two_layer_by_fov_tenth,identity,FALSE,TRUE,
